Homeshop18_product_title,Homeshp18_MRP,Snapdeal_MRP,Homeshop18_selling_price,Snapdeal_selling_price,Homeshop18_stock_status,Snapdeal_stock_status
Nokia X Dual SIM Mobile Phone Black,9499,9499,7199,7148,49Available
Nokia Lumia 520 Windows Mobile Phone Black,11289,11289,8499,8356,74Available
Nokia Lumia 520 Windows Mobile Phone Red,11289,11289,8889,8356,3Available
Nokia X Dual SIM Mobile Phone Green,9499,9499,7199,7148,0Available
Nokia X Dual SIM Mobile Phone Red,9499,9499,7199,7148,24Available
Nokia Asha 500 Dual SIM Mobile Phone Black,5209,5209,3969,3927,11Available
Nokia 107 Dual SIM Mobile Phone Black,1889,1889,1599,1620,1Available
Nokia X Dual SIM Mobile Phone White,9499,9499,7199,7148,24Available
Nokia Asha 502 Dual SIM Mobile Phone Black,6889,6889,5219,5190,11Available
Nokia Lumia 520 Windows Mobile Phone Yellow,11289,11289,8889,8356,5Available
Nokia Lumia 620 Windows Mobile Phone White,15999,15999,13799,14958,1Available
Nokia Asha 311 Mobile Phone Sand White,7089,7089,6399,5529,9Available
Nokia Asha 206 Dual SIM Mobile Phone Black,3859,4399,3699,3476,46Available
Nokia Asha 206 Dual SIM Mobile Phone White,3859,4399,3699,3476,24Available
Nokia Asha 310 Dual SIM Mobile Phone Black,6319,6499,5699,5729,0Available
Nokia Asha 206 Dual SIM Mobile Phone Cyan,3859,4399,3699,3476,5Available
Nokia Asha 206 Dual SIM Mobile Phone Yellow,3859,4399,3699,3476,15Available
Nokia Asha 501 Dual SIM Mobile Phone Black,5999,4999,4569,4187,27Available
Nokia Asha 501 Dual SIM Mobile Phone Red,5999,4999,4569,4187,1Available
Nokia Asha 501 Dual SIM Mobile Phone White,5999,4999,4569,4187,8Available
Nokia 114 Dual SIM Mobile Phone Black,2719,2625,2369,2550,24Available
Nokia 112 Dual SIM Mobile Phone Dark Grey,3319,2999,2799,2964,20Available
Nokia Asha 210 Dual SIM Mobile Phone Black,5269,5659,4649,4826,14Available
Nokia Lumia 620 Windows Mobile Phone Black,15999,15999,13799,14958,4Available
